Designator,Mid X,Mid Y,Rotation,Layer
S1,64.92,-90.0,0.0,top
S10,252.22,-121.0,0.0,top
S11,253.22,-91.0,0.0,top
S12,282.52,-124.0,0.0,top
S13,282.72,-93.0,0.0,top
S2,94.42,-90.0,0.0,top
S3,120.72,-102.9,0.0,top
S4,136.22,-155.4,0.0,top
S5,175.02,-155.4,0.0,top
S6,194.22,-126.9,0.0,top
S7,196.72,-97.5,0.0,top
S8,221.12,-119.4,0.0,top
S9,223.62,-90.0,0.0,top
SW1,193.7045,-69.02,90.0,top
SW2,208.7045,-69.02,90.0,top
SW3,223.7045,-69.02,90.0,top
SW4,118.7045,-69.02,90.0,top
U1,173.8145,-81.8,0.0,top
